Code HS6,Label HS6,HHi Européen,HHi Mondial,HHi Français,Part UE Contrôle financier,Part UE Contrôle opérationel,Taux de couverture Exportations/Importations,Taux de couverture de transit (Transit/Importations),Taux de couverture Exportations/Importations françaises,HHI Contrôle financier,HHI Contrôle opérationel,Code ISIC,Label ISIC,Code HS6 2017,Label HS6 2017,Nom Trendeo,Code HS4,Label HS4,Importations,Exportations,Valeur des flux transitant dans l'UE,Importations françaises,Exportations françaises,Valeur des échanges mondiaux,Quantités importées,Quantités exportées,Quantités transitant dans l'UE,Quantités importées en France,Quantité exportées en France,Quantités totales échangées,Premier exporateur vers l'UE,Premier exportateur mondial,Deuxième exporateur vers l'UE,Deuxième exportateur mondial,Troisième exporateur vers l'UE,Troisième exportateur mondial,Quatrième exporateur vers l'UE,Quatrième exportateur mondial,Cinquième exporateur vers l'UE,Cinquième exportateur mondial,Part du premier exportateur vers l'UE,Part du premier exportateur mondial,Part du deuxième exportateur vers l'UE,Part du deuxième exportateur mondial,Part du troisième exportateur vers l'UE,Part du troisième exportateur mondial,Part du quatrième exportateur vers l'UE,Part du quatrième exportateur mondial,Part du cinquième exportateur vers l'UE,Part du cinquième exportateur mondial
010121,Chevaux reproducteurs de race pure,0.6756227725160968,0.3538604879181983,0.279803877175809,,,2.006622004606881,0.651071218091893,2.1027959624784467,,,,,010121,,,0101,"Chevaux, ânes, mulets et bardots, vivants",303242.918,608493.912,197432.736,76897.67,161700.11,1509891.157,2695.245,4883.807,5333.082,815.525,1664.856,20002.245,United Kingdom,United Kingdom,USA,USA,Iceland,Australia,Switzerland,Japan,Norway,Argentina,0.810108307294418,0.5261131651737858,0.1378821483309958,0.2503233724812681,0.0128081045572843,0.1145207392834629,0.0082576701758291,0.0234751678369058,0.0062834344576515,0.0183033062537531
010129,Chevaux vivants (à l'excl. des animaux reproducteurs de race pure),0.2134548011291192,0.3860890925036364,0.1349681320404273,,,12.407784704100443,2.70412953704592,4.626853897024402,,,,,010129,,,0101,"Chevaux, ânes, mulets et bardots, vivants",61871.53600000001,767688.698,167308.648,21233.38,98243.747,2430193.659,2364.933,9371.552,16951.518,2086.22,4974.052,56639.801,United Kingdom,China,Switzerland,USA,USA,United Kingdom,Bahrain,Australia,Norway,New Zealand,0.3780344325054415,0.6028674844652322,0.1648439599107415,0.07980900097364,0.1529443361483704,0.0716433193879872,0.1188149264631154,0.0650759048521008,0.0497484012680726,0.0646697601908813
010130,"Ânes, vivants",0.4287177415665879,0.1675362363668303,0.3880849324516403,,,5.437695499521226,25.577433769549955,58.004808090856336,,,,,010130,,,0101,"Chevaux, ânes, mulets et bardots, vivants",31.33,170.363,801.341,12.063,699.712,1738.975,5.795999999999999,22.068,1030.069,2.458,1005.72,3521.6510000000003,USA,USA,Norway,Kyrgyzstan,Switzerland,Mali,United Kingdom,Japan,China,Australia,0.6081710820300031,0.2732619895708296,0.1782317267794446,0.205272973955747,0.1589211618257261,0.1502806700631198,0.0401532077880625,0.1351517260524638,0.0145228215767634,0.0768489881671534
010190,"Mulets et bardots, vivants",0.2763782778406571,0.5518415760510097,0.7601643743449534,,,2.909789594984292,11.81252849615338,3.482674845744155,,,,,010190,,,0101,"Chevaux, ânes, mulets et bardots, vivants",519.807,1512.529,6140.235000000001,668.046,2326.587,17211.866,42.418,124.706,1569.772,12.342,39.841,1826.021,USA,USA,United Arab Emirates,United Kingdom,United Kingdom,Thailand,Canada,United Arab Emirates,Norway,Mexico,0.3707568385958634,0.7178404414975382,0.2814467677426429,0.184969885246543,0.2347717518232728,0.0430584379160301,0.058783356130256,0.0153045756808537,0.0252497561594976,0.0099312676023333
010221,Bovins domestiques reproducteurs de race pure,0.6110401240719643,0.1270828450773067,0.2302747396575507,0.2748980821256695,0.0,1275.8541595110553,936.951799803662,23.559549956964,0.17969588762484096,0.24386178342772383,0141,Raising of cattle and buffaloes,010221,"Cattle: live, pure-bred breeding animals",Élevage de bovins et de buffles,0102,Animaux vivants de l'espèce bovine,410.51700000000005,523759.822,384634.642,4261.548,100400.153,1153208.184,42.50999999999999,107045.982,112559.451,911.983,23508.223,283029.754,Switzerland,USA,United Kingdom,Australia,China,Thailand,Canada,Uruguay,India,Namibia,0.744860748763145,0.2352163432670358,0.2367112689608469,0.157577238726653,0.0132686344292684,0.1256240949240916,0.0032861002102227,0.0936915994740817,0.0018732476365168,0.091318595215987
010229,Bovins domestiques vivants (à l'excl. des animaux reproducteurs de race pure),0.2967923901371758,0.1652539698085451,0.3562105566220858,0.2748980821256695,0.0,705.8747122000028,2435.9868041553486,24.471075057927905,0.17969588762484096,0.24386178342772383,0141,Raising of cattle and buffaloes,010229,"Cattle: live, other than pure-bred breeding animals",Élevage de bovins et de buffles,0102,Animaux vivants de l'espèce bovine,1251.303,883263.145,3048157.596,60700.45,1485405.268,9764223.004,395.036,222245.73,789036.215,12917.933,360568.174,2794161.713,United Kingdom,Canada,Rwanda,Mexico,Switzerland,Brazil,Israel,Australia,Nigeria,USA,0.5078665998563099,0.2710294684645989,0.1143432086393144,0.2155679149241887,0.1047484102571479,0.1364350986228521,0.0642897843288156,0.128345390130706,0.0614807125052844,0.0781616067960985
010231,Buffles reproducteurs de race pure,0.4635131696104946,0.9474693055165856,1.0,0.2748980821256695,0.0,0.9021272481144846,0.4503642106620253,0.185754509814488,0.17969588762484096,0.24386178342772383,0141,Raising of cattle and buffaloes,010231,"Buffalo: live, pure-bred breeding animals",Élevage de bovins et de buffles,0102,Animaux vivants de l'espèce bovine,155.13,139.947,69.865,74.227,13.788,34360.837,30.316000000000003,10.3,15.243,10.57,2.785,17052.56,USA,Thailand,Switzerland,Russian Federation,Norway,Malaysia,,USA,,South Africa,0.4827692902726745,0.973268181555312,0.4784825630116677,0.0131542757501422,0.0387481467156578,0.0044825008912616,,0.0039025475809291,,0.0022461112074967
010239,Buffles vivants (à l'excl. des animaux reproducteurs de race pure),0.9967323065498632,0.8641101970072439,0.6712511508760168,0.2748980821256695,0.0,2.469032292962623,53.40061935414075,4.439041212015466,0.17969588762484096,0.24386178342772383,0141,Raising of cattle and buffaloes,010239,"Buffalo: live, other than pure-bred breeding animals",Élevage de bovins et de buffles,0102,Animaux vivants de l'espèce bovine,73.948,182.58,3948.869,607.517,2696.793,77837.31800000001,10.58,61.456,721.47,42.71,413.999,15342.250000000002,Switzerland,Canada,China,Australia,Rep. of Korea,Thailand,,Malaysia,,New Zealand,0.9983637150430033,0.9287158937099024,0.0014740087629144,0.0352756576277528,0.0001622761940823,0.0144239666993139,,0.010734151984559,,0.0038135362056446
010290,Animaux vivants de l'espèce bovine (à l'excl. des bovins domestiques et des buffles),0.3336167829566261,0.1734240423745585,0.7665212426546887,0.2748980821256695,0.0,388.2151081459163,11176.08006026041,9.117808637072208,0.17969588762484096,0.24386178342772383,0141,Raising of cattle and buffaloes,010290,"Bovine animals: live, other than cattle and buffalo",Élevage de bovins et de buffles,0102,Animaux vivants de l'espèce bovine,9.293,3607.683,103859.312,4740.009,43218.495,292992.727,1.707,803.202,17796.697,936.107,2119.625,79962.48,Switzerland,Brazil,China,China,Brazil,Sudan,Norway,Mexico,,Australia,0.4135370709135909,0.2700854510036376,0.302808565587001,0.2349460666728429,0.2656838480576778,0.1522626952901606,0.0179705154417303,0.1196990668658297,,0.0573729740088021
010310,Porcins reproducteurs de race pure,0.3421372190256743,0.266391708121808,0.2795518035326311,0.006915941758588211,0.0,4.780465598885085,24.63083387081187,6.078340286892457,0.7934919553877968,0.5701832579144004,0145,Raising of swine/pigs,010310,"Swine: live, pure-bred breeding animals",Élevage de porcins,0103,Animaux vivants de l'espèce porcine,6094.817,29136.063,150120.425,2966.826,18033.378,236776.133,520.592,2462.908,33089.162000000004,769.626,2028.785,49431.081,Norway,USA,Canada,Thailand,United Kingdom,Canada,USA,Norway,Switzerland,United Kingdom,0.3879338789007118,0.42036013956623,0.3875315698568144,0.2144971339791822,0.2028167539730889,0.1937148082190006,0.0176904409106951,0.0654017596944487,0.0040273563586896,0.0273268376395577
